parameter1,parameter2,parameter3,parameter4,output
724,433,546,386,2089
679,249,504,982,2414
118,320,761,71,1270
945,231,342,487,2005
294,138,730,506,1668
685,355,421,284,1745
118,494,325,567,1504
547,606,761,118,2032
783,309,636,483,2211
724,885,890,603,3102
470,795,916,121,2302
502,845,457,21,1825
907,343,323,907,2480
881,599,60,646,2186
922,481,688,900,2991
889,417,888,170,2364
131,619,329,357,1436
889,434,472,470,2265
628,18,648,59,1353
513,366,883,40,1802
118,237,295,870,1520
518,210,448,530,1706
818,325,936,273,2352
312,81,119,258,770
200,379,474,608,1661
670,299,863,566,2398
585,218,130,354,1287
940,288,852,906,2986
494,500,732,593,2319
694,294,215,902,2105
83,855,771,698,2407
936,316,422,406,2080
399,385,159,884,1827
568,205,358,675,1806
987,475,520,597,2579
981,921,389,308,2599
488,471,837,537,2333
310,725,426,384,1845
552,338,630,561,2081
1000,869,233,129,2231
839,788,995,761,3383
119,280,569,28,996
116,259,46,52,473
120,970,434,368,1892
989,387,360,495,2231
631,379,631,882,2523
935,990,684,647,3256
658,68,811,723,2260
121,692,68,708,1589
893,788,254,634,2569
116,985,863,589,2553
944,260,500,913,2617
486,868,987,378,2719
611,157,130,30,928
714,499,869,899,2981
237,385,885,877,2384
981,242,733,501,2457
722,691,533,993,2939
841,195,147,2,1185
872,288,257,250,1667
263,819,711,881,2674
84,304,590,341,1319
387,974,769,942,3072
742,467,917,582,2708
57,286,970,807,2120
951,556,111,524,2142
355,440,500,756,2051
46,141,582,695,1464
17,813,850,124,1804
278,308,597,948,2131
612,359,497,660,2128
710,619,395,997,2721
111,206,337,773,1427
291,470,876,367,2004
939,297,532,143,1911
317,127,965,480,1889
239,99,550,466,1354
721,523,647,687,2578
321,351,385,241,1298
414,376,756,494,2040
544,115,410,337,1406
285,352,921,897,2455
569,613,86,390,1658
412,166,72,315,965
676,624,656,768,2724
614,937,29,121,1701
264,50,498,442,1254
301,757,877,124,2059
745,853,397,997,2992
595,785,527,765,2672
831,96,486,698,2111
480,699,636,795,2610
688,578,188,821,2275
272,988,780,782,2822
306,463,152,218,1139
606,364,829,522,2321
724,472,994,58,2248
255,865,874,671,2665
788,639,759,982,3168
798,556,502,481,2337
926,998,479,326,2729
140,387,962,344,1833
109,940,695,876,2620
739,951,629,957,3276
1,877,743,225,1846
373,590,16,958,1937
80,986,733,824,2623
43,135,780,8,966
270,280,800,177,1527
572,820,148,657,2197
354,731,810,515,2410
782,808,86,487,2163
552,28,315,958,1853
703,488,383,211,1785
126,316,79,79,600
43,603,140,412,1198
225,972,297,911,2405
232,353,893,582,2060
906,171,546,353,1976
871,620,539,366,2396
44,634,897,649,2224
852,80,207,963,2102
931,987,906,447,3271
649,677,598,186,2110
263,821,588,319,1991
592,156,828,926,2502
311,809,92,118,1330
331,109,407,843,1690
296,313,492,388,1489
995,534,756,362,2647
366,477,1000,230,2073
635,130,601,484,1850
784,852,990,833,3459
182,977,698,432,2289
202,340,611,209,1362
150,103,900,1,1154
381,124,380,946,1831
378,483,576,525,1962
410,869,64,371,1714
304,95,135,800,1334
137,756,530,529,1952
394,6,631,616,1647
848,74,887,21,1830
73,386,971,113,1543
289,621,976,698,2584
395,7,727,504,1633
928,40,220,325,1513
471,389,473,199,1532
267,519,574,802,2162
385,956,486,941,2768
367,687,646,681,2381
160,675,402,479,1716
811,29,412,641,1893
840,472,880,872,3064
877,39,981,903,2800
320,696,578,368,1962
363,638,70,685,1756
344,938,668,212,2162
214,173,90,725,1202
969,382,366,116,1833
805,750,703,283,2541
266,400,1000,2,1668
881,348,141,223,1593
514,946,660,315,2435
223,64,818,600,1705
106,670,796,768,2340
244,37,992,155,1428
170,907,22,210,1309
181,412,800,59,1452
314,230,910,724,2178
542,850,775,878,3045
37,316,452,889,1694
202,760,290,325,1577
674,66,28,344,1112
453,246,265,656,1620
734,946,631,279,2590
811,231,787,74,1903
17,140,866,147,1170
658,669,914,302,2543
940,434,426,875,2675
525,544,742,750,2561
720,478,750,31,1979
296,474,642,692,2104
356,398,475,727,1956
816,336,777,586,2515
730,253,895,904,2782
709,692,660,578,2639
872,601,98,351,1922
64,931,646,363,2004
733,706,828,965,3232
306,33,826,507,1672
519,237,292,787,1835
144,841,878,893,2756
884,330,416,744,2374
677,240,996,928,2841
278,825,517,447,2067
536,465,563,647,2211
625,908,290,685,2508
65,568,446,782,1861
427,316,597,47,1387
532,721,425,661,2339
148,534,101,994,1777
943,965,774,64,2746
70,782,379,387,1618
95,443,352,657,1547
636,590,360,948,2534
739,628,591,322,2280
182,718,724,352,1976
10,568,508,376,1462
95,935,395,599,2024
926,376,597,534,2433
540,578,737,391,2246
797,307,485,423,2012
672,391,494,17,1574
721,107,463,562,1853
435,378,481,486,1780
713,290,969,283,2255
345,399,537,766,2047
238,974,749,48,2009
626,112,207,679,1624
106,207,593,138,1044
842,557,346,410,2155
165,634,536,72,1407
65,724,617,83,1489
702,495,809,435,2441
536,537,945,893,2911
160,648,210,318,1336
778,378,820,319,2295
264,567,881,130,1842
75,512,0,628,1215
33,496,948,575,2052
395,839,514,244,1992
782,40,69,674,1565
399,302,690,855,2246
442,67,301,998,1808
88,282,730,715,1815
478,108,736,361,1683
247,913,342,769,2271
217,699,68,637,1621
957,111,83,737,1888
580,544,954,360,2438
766,193,139,883,1981
402,870,1000,235,2507
966,362,656,278,2262
476,894,59,840,2269
706,198,722,170,1796
523,669,662,19,1873
33,634,134,774,1575
757,898,905,770,3330
847,902,22,133,1904
446,928,632,604,2610
19,480,4,363,866
